Palavra;Significado;Raw_Original
pisika;pegar;pisika
piruka;descansar;piruka
mitica;plantação;mitica
mirá;madeira;mirá
mukamee;mostrar;mukamee
sapukaia;galinha;sapukaia
sura;esperar;sura
suú;animal;suú
suasu;veado;suasu
uí;farinha;uí
tupasá;corda;tupasá
xipu;cipó;xipu
uiké;entrar;uiké
riré;após;riré
riré;depois de;riré
